date,store_nbr,item_nbr,family,sales,onpromotion
2017-01-01,1,ITEM_001,GROCERY,184.78,0
2017-01-02,1,ITEM_001,GROCERY,165.88,0
2017-01-03,1,ITEM_001,GROCERY,152.24,0
2017-01-04,1,ITEM_001,GROCERY,109.93,0
2017-01-05,1,ITEM_001,GROCERY,126.16,0
2017-01-06,1,ITEM_001,GROCERY,99.34,0
2017-01-07,1,ITEM_001,GROCERY,143.53,0
2017-01-08,1,ITEM_001,GROCERY,163.18,0
2017-01-09,1,ITEM_001,GROCERY,111.82,0
2017-01-10,1,ITEM_001,GROCERY,130.89,0
2017-01-11,1,ITEM_001,GROCERY,113.8,0
2017-01-12,1,ITEM_001,GROCERY,120.85,0
2017-01-13,1,ITEM_001,GROCERY,155.2,0
2017-01-14,1,ITEM_001,GROCERY,221.77,1
2017-01-15,1,ITEM_001,GROCERY,203.7,1
2017-01-16,1,ITEM_001,GROCERY,134.18,0
2017-01-17,1,ITEM_001,GROCERY,111.18,0
2017-01-18,1,ITEM_001,GROCERY,130.73,1
2017-01-19,1,ITEM_001,GROCERY,110.74,0
2017-01-20,1,ITEM_001,GROCERY,127.3,0
2017-01-21,1,ITEM_001,GROCERY,173.71,0
2017-01-22,1,ITEM_001,GROCERY,179.38,0
2017-01-23,1,ITEM_001,GROCERY,107.83,0
2017-01-24,1,ITEM_001,GROCERY,141.55,0
2017-01-25,1,ITEM_001,GROCERY,138.92,0
2017-01-26,1,ITEM_001,GROCERY,132.66,0
2017-01-27,1,ITEM_001,GROCERY,148.9,0
2017-01-28,1,ITEM_001,GROCERY,174.64,0
2017-01-29,1,ITEM_001,GROCERY,145.51,0
2017-01-30,1,ITEM_001,GROCERY,180.85,1
2017-01-31,1,ITEM_001,GROCERY,121.01,0
2017-02-01,1,ITEM_001,GROCERY,141.57,0
2017-02-02,1,ITEM_001,GROCERY,173.72,1
2017-02-03,1,ITEM_001,GROCERY,186.04,1
2017-02-04,1,ITEM_001,GROCERY,246.45,1
2017-02-05,1,ITEM_001,GROCERY,177.83,0
2017-02-06,1,ITEM_001,GROCERY,151.39,0
2017-02-07,1,ITEM_001,GROCERY,131.45,0
2017-02-08,1,ITEM_001,GROCERY,130.23,0
2017-02-09,1,ITEM_001,GROCERY,164.98,1
2017-02-10,1,ITEM_001,GROCERY,123.51,0
2017-02-11,1,ITEM_001,GROCERY,254.71,1
2017-02-12,1,ITEM_001,GROCERY,159.24,0
2017-02-13,1,ITEM_001,GROCERY,123.8,0
2017-02-14,1,ITEM_001,GROCERY,144.97,0
2017-02-15,1,ITEM_001,GROCERY,134.93,0
2017-02-16,1,ITEM_001,GROCERY,187.37,1
2017-02-17,1,ITEM_001,GROCERY,123.85,0
2017-02-18,1,ITEM_001,GROCERY,208.06,0
2017-02-19,1,ITEM_001,GROCERY,208.1,0
2017-02-20,1,ITEM_001,GROCERY,165.39,0
2017-02-21,1,ITEM_001,GROCERY,152.96,0
2017-02-22,1,ITEM_001,GROCERY,148.89,0
2017-02-23,1,ITEM_001,GROCERY,161.13,1
2017-02-24,1,ITEM_001,GROCERY,136.86,0
2017-02-25,1,ITEM_001,GROCERY,245.26,1
2017-02-26,1,ITEM_001,GROCERY,180.11,0
2017-02-27,1,ITEM_001,GROCERY,176.31,1
2017-02-28,1,ITEM_001,GROCERY,162.7,0
2017-03-01,1,ITEM_001,GROCERY,165.19,1
2017-03-02,1,ITEM_001,GROCERY,148.14,0
2017-03-03,1,ITEM_001,GROCERY,156.22,0
2017-03-04,1,ITEM_001,GROCERY,192.2,0
2017-03-05,1,ITEM_001,GROCERY,166.3,0
2017-03-06,1,ITEM_001,GROCERY,134.29,0
2017-03-07,1,ITEM_001,GROCERY,129.77,0
2017-03-08,1,ITEM_001,GROCERY,134.01,0
2017-03-09,1,ITEM_001,GROCERY,148.34,0
2017-03-10,1,ITEM_001,GROCERY,198.87,1
2017-03-11,1,ITEM_001,GROCERY,186.7,0
2017-03-12,1,ITEM_001,GROCERY,164.39,0
2017-03-13,1,ITEM_001,GROCERY,147.25,0
2017-03-14,1,ITEM_001,GROCERY,144.89,0
2017-03-15,1,ITEM_001,GROCERY,199.53,1
2017-03-16,1,ITEM_001,GROCERY,164.15,0
2017-03-17,1,ITEM_001,GROCERY,142.74,0
2017-03-18,1,ITEM_001,GROCERY,256.37,1
2017-03-19,1,ITEM_001,GROCERY,225.84,0
2017-03-20,1,ITEM_001,GROCERY,165.4,0
2017-03-21,1,ITEM_001,GROCERY,150.01,0
2017-03-22,1,ITEM_001,GROCERY,162.81,0
2017-03-23,1,ITEM_001,GROCERY,175.76,1
2017-03-24,1,ITEM_001,GROCERY,171.53,0
2017-03-25,1,ITEM_001,GROCERY,194.54,0
2017-03-26,1,ITEM_001,GROCERY,215.57,1
2017-03-27,1,ITEM_001,GROCERY,126.23,0
2017-03-28,1,ITEM_001,GROCERY,121.9,0
2017-03-29,1,ITEM_001,GROCERY,155.07,0
2017-03-30,1,ITEM_001,GROCERY,169.09,1
2017-03-31,1,ITEM_001,GROCERY,144.65,0
2017-04-01,1,ITEM_001,GROCERY,239.96,0
2017-04-02,1,ITEM_001,GROCERY,230.9,0
2017-04-03,1,ITEM_001,GROCERY,166.57,0
2017-04-04,1,ITEM_001,GROCERY,139.75,0
2017-04-05,1,ITEM_001,GROCERY,137.17,0
2017-04-06,1,ITEM_001,GROCERY,173.57,0
2017-04-07,1,ITEM_001,GROCERY,163.07,0
2017-04-08,1,ITEM_001,GROCERY,272.81,1
2017-04-09,1,ITEM_001,GROCERY,169.23,0
2017-04-10,1,ITEM_001,GROCERY,176.24,0
2017-04-11,1,ITEM_001,GROCERY,146.45,0
2017-04-12,1,ITEM_001,GROCERY,176.01,0
2017-04-13,1,ITEM_001,GROCERY,119.37,0
2017-04-14,1,ITEM_001,GROCERY,129.96,0
2017-04-15,1,ITEM_001,GROCERY,193.23,0
2017-04-16,1,ITEM_001,GROCERY,240.44,0
2017-04-17,1,ITEM_001,GROCERY,144.82,0
2017-04-18,1,ITEM_001,GROCERY,187.13,1
2017-04-19,1,ITEM_001,GROCERY,139.48,0
2017-04-20,1,ITEM_001,GROCERY,224.63,1
2017-04-21,1,ITEM_001,GROCERY,175.72,1
2017-04-22,1,ITEM_001,GROCERY,244.48,1
2017-04-23,1,ITEM_001,GROCERY,223.05,1
2017-04-24,1,ITEM_001,GROCERY,142.79,0
2017-04-25,1,ITEM_001,GROCERY,139.02,0
2017-04-26,1,ITEM_001,GROCERY,158.96,0
2017-04-27,1,ITEM_001,GROCERY,151.64,1
2017-04-28,1,ITEM_001,GROCERY,129.41,0
2017-04-29,1,ITEM_001,GROCERY,277.1,1
2017-04-30,1,ITEM_001,GROCERY,182.5,0
2017-05-01,1,ITEM_001,GROCERY,139.32,0
2017-05-02,1,ITEM_001,GROCERY,160.65,0
2017-05-03,1,ITEM_001,GROCERY,174.87,1
2017-05-04,1,ITEM_001,GROCERY,171.68,1
2017-05-05,1,ITEM_001,GROCERY,118.92,0
2017-05-06,1,ITEM_001,GROCERY,178.62,0
2017-05-07,1,ITEM_001,GROCERY,175.08,0
2017-05-08,1,ITEM_001,GROCERY,143.73,0
2017-05-09,1,ITEM_001,GROCERY,153.44,0
2017-05-10,1,ITEM_001,GROCERY,161.03,0
2017-05-11,1,ITEM_001,GROCERY,151.3,0
2017-05-12,1,ITEM_001,GROCERY,153.29,0
2017-05-13,1,ITEM_001,GROCERY,208.04,0
2017-05-14,1,ITEM_001,GROCERY,221.24,1
2017-05-15,1,ITEM_001,GROCERY,113.05,0
2017-05-16,1,ITEM_001,GROCERY,164.38,0
2017-05-17,1,ITEM_001,GROCERY,130.77,0
2017-05-18,1,ITEM_001,GROCERY,138.07,0
2017-05-19,1,ITEM_001,GROCERY,146.94,0
2017-05-20,1,ITEM_001,GROCERY,181.94,0
2017-05-21,1,ITEM_001,GROCERY,183.14,0
2017-05-22,1,ITEM_001,GROCERY,153.64,0
2017-05-23,1,ITEM_001,GROCERY,211.75,1
2017-05-24,1,ITEM_001,GROCERY,143.63,0
2017-05-25,1,ITEM_001,GROCERY,135.82,0
2017-05-26,1,ITEM_001,GROCERY,150.21,0
2017-05-27,1,ITEM_001,GROCERY,193.54,0
2017-05-28,1,ITEM_001,GROCERY,178.46,1
2017-05-29,1,ITEM_001,GROCERY,110.52,0
2017-05-30,1,ITEM_001,GROCERY,140.52,0
2017-05-31,1,ITEM_001,GROCERY,178.47,1
2017-06-01,1,ITEM_001,GROCERY,191.2,1
2017-06-02,1,ITEM_001,GROCERY,133.31,0
2017-06-03,1,ITEM_001,GROCERY,210.97,1
2017-06-04,1,ITEM_001,GROCERY,175.89,0
2017-06-05,1,ITEM_001,GROCERY,164.42,1
2017-06-06,1,ITEM_001,GROCERY,129.46,0
2017-06-07,1,ITEM_001,GROCERY,163.73,1
2017-06-08,1,ITEM_001,GROCERY,189.52,1
2017-06-09,1,ITEM_001,GROCERY,168.78,1
2017-06-10,1,ITEM_001,GROCERY,143.61,0
2017-06-11,1,ITEM_001,GROCERY,176.55,0
2017-06-12,1,ITEM_001,GROCERY,130.36,0
2017-06-13,1,ITEM_001,GROCERY,154.4,0
2017-06-14,1,ITEM_001,GROCERY,141.02,0
2017-06-15,1,ITEM_001,GROCERY,127.86,0
2017-06-16,1,ITEM_001,GROCERY,142.35,0
2017-06-17,1,ITEM_001,GROCERY,175.32,0
2017-06-18,1,ITEM_001,GROCERY,131.91,0
2017-06-19,1,ITEM_001,GROCERY,176.85,1
2017-06-20,1,ITEM_001,GROCERY,116.77,0
2017-06-21,1,ITEM_001,GROCERY,174.45,1
2017-06-22,1,ITEM_001,GROCERY,123.52,0
2017-06-23,1,ITEM_001,GROCERY,130.31,0
2017-06-24,1,ITEM_001,GROCERY,177.36,0
2017-06-25,1,ITEM_001,GROCERY,132.93,0
2017-06-26,1,ITEM_001,GROCERY,105.45,0
2017-06-27,1,ITEM_001,GROCERY,155.58,1
2017-06-28,1,ITEM_001,GROCERY,113.25,0
2017-06-29,1,ITEM_001,GROCERY,110.89,0
2017-06-30,1,ITEM_001,GROCERY,99.95,0
2017-07-01,1,ITEM_001,GROCERY,148.43,0
2017-07-02,1,ITEM_001,GROCERY,159.89,0
2017-07-03,1,ITEM_001,GROCERY,159.99,1
2017-07-04,1,ITEM_001,GROCERY,126.55,0
2017-07-05,1,ITEM_001,GROCERY,108.26,0
2017-07-06,1,ITEM_001,GROCERY,139.74,0
2017-07-07,1,ITEM_001,GROCERY,109.4,0
2017-07-08,1,ITEM_001,GROCERY,160.35,0
2017-07-09,1,ITEM_001,GROCERY,133.1,0
2017-07-10,1,ITEM_001,GROCERY,128.76,0
2017-07-11,1,ITEM_001,GROCERY,83.08,0
2017-07-12,1,ITEM_001,GROCERY,98.35,0
2017-07-13,1,ITEM_001,GROCERY,102.13,0
2017-07-14,1,ITEM_001,GROCERY,122.38,0
2017-07-15,1,ITEM_001,GROCERY,150.59,0
2017-07-16,1,ITEM_001,GROCERY,134.59,0
2017-07-17,1,ITEM_001,GROCERY,123.1,0
2017-07-18,1,ITEM_001,GROCERY,86.16,0
2017-07-19,1,ITEM_001,GROCERY,118.38,0
2017-07-20,1,ITEM_001,GROCERY,100.17,0
2017-07-21,1,ITEM_001,GROCERY,97.64,0
2017-07-22,1,ITEM_001,GROCERY,101.4,0
2017-07-23,1,ITEM_001,GROCERY,147.17,0
2017-07-24,1,ITEM_001,GROCERY,132.25,1
2017-07-25,1,ITEM_001,GROCERY,105.11,0
2017-07-26,1,ITEM_001,GROCERY,155.38,1
2017-07-27,1,ITEM_001,GROCERY,117.72,0
2017-07-28,1,ITEM_001,GROCERY,103.27,0
2017-07-29,1,ITEM_001,GROCERY,94.49,0
2017-07-30,1,ITEM_001,GROCERY,116.23,0
2017-07-31,1,ITEM_001,GROCERY,102.6,0
2017-08-01,1,ITEM_001,GROCERY,92.01,0
2017-08-02,1,ITEM_001,GROCERY,107.18,0
2017-08-03,1,ITEM_001,GROCERY,81.32,0
2017-08-04,1,ITEM_001,GROCERY,111.51,1
2017-08-05,1,ITEM_001,GROCERY,131.04,0
2017-08-06,1,ITEM_001,GROCERY,125.76,0
2017-08-07,1,ITEM_001,GROCERY,96.2,0
2017-08-08,1,ITEM_001,GROCERY,98.19,0
2017-08-09,1,ITEM_001,GROCERY,99.53,0
2017-08-10,1,ITEM_001,GROCERY,105.05,0
2017-08-11,1,ITEM_001,GROCERY,93.58,0
2017-08-12,1,ITEM_001,GROCERY,137.79,0
2017-08-13,1,ITEM_001,GROCERY,101.89,0
2017-08-14,1,ITEM_001,GROCERY,94.89,0
2017-08-15,1,ITEM_001,GROCERY,106.04,1
2017-08-16,1,ITEM_001,GROCERY,96.73,0
2017-08-17,1,ITEM_001,GROCERY,96.17,0
2017-08-18,1,ITEM_001,GROCERY,129.05,1
2017-08-19,1,ITEM_001,GROCERY,106.88,0
2017-08-20,1,ITEM_001,GROCERY,109.52,0
2017-08-21,1,ITEM_001,GROCERY,87.6,0
2017-08-22,1,ITEM_001,GROCERY,98.82,0
2017-08-23,1,ITEM_001,GROCERY,102.68,0
2017-08-24,1,ITEM_001,GROCERY,84.26,0
2017-08-25,1,ITEM_001,GROCERY,102.28,0
2017-08-26,1,ITEM_001,GROCERY,127.17,0
2017-08-27,1,ITEM_001,GROCERY,116.14,0
2017-08-28,1,ITEM_001,GROCERY,95.04,0
2017-08-29,1,ITEM_001,GROCERY,90.91,0
2017-08-30,1,ITEM_001,GROCERY,111.03,0
2017-08-31,1,ITEM_001,GROCERY,130.24,1
2017-09-01,1,ITEM_001,GROCERY,93.53,0
2017-09-02,1,ITEM_001,GROCERY,96.06,0
2017-09-03,1,ITEM_001,GROCERY,168.27,1
2017-09-04,1,ITEM_001,GROCERY,109.73,0
2017-09-05,1,ITEM_001,GROCERY,89.89,0
2017-09-06,1,ITEM_001,GROCERY,115.23,1
2017-09-07,1,ITEM_001,GROCERY,66.63,0
2017-09-08,1,ITEM_001,GROCERY,71.83,0
2017-09-09,1,ITEM_001,GROCERY,107.22,0
2017-09-10,1,ITEM_001,GROCERY,117.29,0
2017-09-11,1,ITEM_001,GROCERY,82.64,0
2017-09-12,1,ITEM_001,GROCERY,76.11,0
2017-09-13,1,ITEM_001,GROCERY,90.15,0
2017-09-14,1,ITEM_001,GROCERY,83.62,0
2017-09-15,1,ITEM_001,GROCERY,85.44,0
2017-09-16,1,ITEM_001,GROCERY,108.6,0
2017-09-17,1,ITEM_001,GROCERY,108.75,0
2017-09-18,1,ITEM_001,GROCERY,94.82,0
2017-09-19,1,ITEM_001,GROCERY,60.95,0
